Nome,Idade,Localização,Amigos,Id,Sobrenome,Email,Data de Nascimento,Hobbies,Linguagem de Programação,Jogos Favoritos,ano_nascimento,Estado
Rafael,22.0,"('Juiz de Fora', 'MG')",,da14ae70,Ribeiro Moraes,rafaelkk@mailservice.com,2002-01-24,[],"['Ruby', 'PHP', 'Python', 'Kotlin']","[('Fortnite', 'PlayStation 4')]",2002.0,MG
Pedro,,"('Juiz de Fora', 'MG')",,addf7b94,Lima Dias,maria.santos@,2003-03-16,"['pintura', 'fotografia', 'futebol', 'cinema', 'leitura']",['C#'],"[('Overwatch', 'PC'), ('GTA V', 'PlayStation 4'), ('Among Us', 'Mobile')]",,MG
Mariana,,"('Juiz de Fora', 'MG')",,826258f9,Ribeiro,mariana5@randommail.com,2000-06-04,[],['C++'],"[('Overwatch', 'PC'), ('Minecraft', 'PC'), ('Cyberpunk 2077', 'PC'), ('GTA V', 'PlayStation 4'), ('Fortnite', 'PlayStation 4')]",,MG
Ana,34.0,"('Juiz de Fora', 'MG')",,32d0dc4b,Martins Silva,ana6wz@fastmail.com,1990-10-02,"['futebol', 'música', 'fotografia', 'natação', 'leitura']","['Java', 'Python', 'Kotlin', 'JavaScript', 'PHP']","[('Fortnite', 'PlayStation 4'), ('The Witcher 3', 'Xbox One')]",1990.0,MG
Rafael,38.0,"('Belo Horizonte', 'MG')",,e0c03323,Oliveira Araújo Dias,rafaelbm1@webmail.net,1985-12-01,"['cozinhar', 'ciclismo', 'cinema', 'fotografia', 'música']","['C#', 'Ruby']","[('Overwatch', 'PC'), ('GTA V', 'PlayStation 4'), ('Fortnite', 'PlayStation 4'), ('Minecraft', 'PC')]",1986.0,MG
Beatriz,20.0,"('Juiz de Fora', 'MG')",,defa6aa6,Costa Lima Correia,beatrizd@webmail.net,2004-03-24,"['cinema', 'viagem', 'futebol', 'música', 'ciclismo']","['Go', 'Python']","[('GTA V', 'PlayStation 4'), ('Valorant', 'PC')]",2004.0,MG
Beatriz,26.0,"('Juiz de Fora', 'MG')",,72a698c4,Costa Fernandes Martins,beatriz7u@inbox.org,,"['natação', 'fotografia', 'música', 'futebol']",['PHP'],"[('Fortnite', 'PlayStation 4'), ('Overwatch', 'PC')]",1998.0,MG
Fernanda,23.0,"('Belo Horizonte', 'MG')",,c3818351,Costa Ribeiro,fernanda1@mailservice.com,2001-07-23,[],"['Java', 'Python']","[('Overwatch', 'PC')]",2001.0,MG
Mariana,45.0,"('Belo Horizonte', 'MG')",,41936061,Souza Martins,mariana6@inbox.org,1978-11-21,"['música', 'ciclismo']","['Python', 'Ruby', 'C#', 'Swift']","[('GTA V', 'PlayStation 4')]",1979.0,MG
João,28.0,"('Juiz de Fora', 'MG')",,9f446547,Silva Almeida Correia,joãoy@inbox.org,1996-03-25,['fotografia'],"['Swift', 'Kotlin', 'C#', 'Java']","[('Apex Legends', 'PC')]",1996.0,MG
Carla,33.0,"('Juiz de Fora', 'MG')",,e3f891ab,Ribeiro Moraes,carlam@inbox.org,1991-06-02,"['fotografia', 'futebol', 'música']","['Python', 'Swift', 'JavaScript']","[('Among Us', 'Mobile'), ('League of Legends', 'PC')]",1991.0,MG
Mariana,31.0,"('Belo Horizonte', 'MG')",,8bcc1628,Costa,marianasch@freemail.com,1993-01-05,['leitura'],[],"[('League of Legends', 'PC')]",1993.0,MG
